treatment,site,block,plot,tree_id,family,scientific_name,height_m,DBH1_cm,DBH2_cm,DBH3_cm,DBH4_cm,DBH5_cm,DBH6_cm,DBH7_cm,DBH8_cm,DBH9_cm,DBH10_cm,DBH11_cm
SAFM,1,1,1,2008,Fabaceae,Pterogyne nitens Tul.,19.4,26.8,32.1,,,,,,,,,
SAFM,1,1,1,2009,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,7.5,8.0,2.9,,,,,,,,,
SAFM,1,1,1,2010,Fabaceae,Hymenaea courbaril L.,8.4,7.3,4.6,,,,,,,,,
SAFM,1,1,1,2011,Fabaceae,Pterogyne nitens Tul.,18.3,17.8,29.9,33.2,,,,,,,,
SAFM,1,1,2,2012,Fabaceae,Enterolobium contortisiliquum (Vell.) Morong,8.9,10.4,,,,,,,,,,
SAFM,1,1,2,2013,Boraginaceae,Cordia americana (L.) Gottshling & J. E. Mill.,18.5,44.0,19.4,,,,,,,,,
SAFM,1,1,2,2014,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,9.6,8.1,,,,,,,,,,
SAFM,1,1,2,2015,Fabaceae,Pterogyne nitens Tul.,17.8,43.3,,,,,,,,,,
SAFM,1,1,2,2016,Lauraceae,Ocotea corymbosa,4.8,6.4,2.6,,,,,,,,,
SAFM,1,1,2,2017,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,6.2,7.4,2.7,,,,,,,,,
SAFM,1,1,2,2018,Fabaceae,Erythrina falcata Benth.,4.6,5.0,,,,,,,,,,
SAFM,1,1,2,2019,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,8.1,9.5,,,,,,,,,,
SAFM,1,1,2,2020,Fabaceae,Pterogyne nitens Tul.,18.6,5.2,,,,,,,,,,
SAFM,1,1,2,2021,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,5.0,7.0,,,,,,,,,,
SAFM,1,1,2,2022,Fabaceae,Lonchocaspus cultratus,18.6,27.8,,,,,,,,,,
SAFM,1,1,2,2023,Fabaceae,Pterogyne nitens Tul.,18.1,25.9,11.9,,,,,,,,,
SAFM,1,1,2,2024,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,19.3,22.2,,,,,,,,,,
SAFM,1,1,2,2025,Fabaceae,Pterogyne nitens Tul.,18.2,30.6,,,,,,,,,,
SAFT,1,1,1,2026,Fabaceae,Enterolobium contortisiliquum (Vell.) Morong,5.9,7.9,,,,,,,,,,
SAFT,1,1,1,2027,Apocynaceae,Aspidosperma polyneuron Müll. Arg.,6.0,6.8,,,,,,,,,,
SAFT,1,1,1,2028,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,15.8,19.2,,,,,,,,,,
SAFT,1,1,1,2029,Apocynaceae,Aspidosperma polyneuron Müll. Arg.,4.5,6.5,,,,,,,,,,
SAFT,1,1,1,2030,Fabaceae,Hymenaea courbaril L.,11.0,9.9,,,,,,,,,,
SAFT,1,1,1,2031,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,4.8,5.5,,,,,,,,,,
SAFT,1,1,1,2032,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,19.8,28.5,,,,,,,,,,
SAFT,1,1,1,2033,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,13.0,9.1,,,,,,,,,,
SAFT,1,1,1,2034,Bignoniaceae,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,4.4,6.5,,,,,,,,,,
SAFT,1,1,1,2035,Fabaceae,Mimosa caesalpininiifolia Benth.,10.7,8.3,14.6,15.6,7.0,16.5,9.0,9.8,9.9,,,
SAFT,1,1,1,2036,Fabaceae,Pterogyne nitens Tul.,18.7,36.8,,,,,,,,,,
